defect1_1,defect1_2,defect2_1,defect2_2,total_voltage
1,5,4,7,50.9791439
1,5,5,7,63.46391247
1,5,1,8,65.01392723
1,5,2,8,58.01958461
1,5,3,8,50.63857752
1,5,4,8,51.01999369
1,5,5,8,68.60295373
1,5,1,9,77.16855892
1,5,2,9,56.7467795
1,5,3,9,50.60677065
1,5,4,9,51.09312686
1,5,5,9,79.52579293
1,5,1,10,106.2148339
1,5,2,10,57.08675738
1,5,3,10,50.58257408
1,5,4,10,51.18941654
1,5,5,10,108.4378039
2,5,3,5,41.9771801
2,5,4,5,41.88197643
2,5,5,5,52.69774269
2,5,1,6,65.54759221
2,5,2,6,42.13290624
2,5,3,6,41.87840372
2,5,4,6,41.93809443
2,5,5,6,52.69375973
2,5,1,7,63.39865552
2,5,2,7,42.777995
2,5,3,7,41.81091922
2,5,4,7,41.99403546
2,5,5,7,54.84982117
2,5,1,8,65.97530805
2,5,2,8,43.67662998
2,5,3,8,41.76717755
2,5,4,8,42.0425197
2,5,5,8,60.03259995
2,5,1,9,75.45914183
2,5,2,9,44.79519331
2,5,3,9,41.73003035
2,5,4,9,42.15326575
2,5,5,9,71.12497367
2,5,1,10,102.9512246
2,5,2,10,46.37120161
2,5,3,10,41.6984301
2,5,4,10,42.2575477
2,5,5,10,100.4702299
3,5,4,5,44.4246262
3,5,5,5,52.37749876
3,5,1,6,50.67502461
3,5,2,6,41.87840481
3,5,3,6,36.21277919
3,5,4,6,38.00306223
3,5,5,6,48.71743693
3,5,1,7,52.8900611
3,5,2,7,42.01679326
3,5,3,7,36.21073452
3,5,4,7,37.34214336
3,5,5,7,50.09262298
3,5,1,8,58.0799797
3,5,2,8,42.40406278
3,5,3,8,36.17932433
3,5,4,8,37.14283273
3,5,5,8,54.94277106
3,5,1,9,68.93350009
3,5,2,9,43.11778031
3,5,3,9,36.25619874
3,5,4,9,37.06106283
3,5,5,9,65.76401222
3,5,1,10,96.07048937
3,5,2,10,44.03029902
3,5,3,10,36.25045835
3,5,4,10,37.04760877
3,5,5,10,94.74838136
4,5,5,5,54.25330325
4,5,1,6,50.95896715
4,5,2,6,41.93809575
4,5,3,6,38.00306192
4,5,4,6,36.72472218
4,5,5,6,49.23574779
4,5,1,7,53.17153196
4,5,2,7,42.18041729
4,5,3,7,37.32047421
4,5,4,7,36.71590768
4,5,5,7,50.44191882
4,5,1,8,58.41964431
4,5,2,8,42.64505072
4,5,3,8,37.06804301
4,5,4,8,36.83007871
4,5,5,8,55.32077664
4,5,1,9,69.389527
4,5,2,9,43.44131639
4,5,3,9,36.9679561
4,5,4,9,36.99677731
4,5,5,9,66.14427108
4,5,1,10,96.56351834
4,5,2,10,44.41346061
4,5,3,10,36.89632389
4,5,4,10,37.05032596
4,5,5,10,95.26907358
5,5,1,6,61.32786106
5,5,2,6,52.69375991
5,5,3,6,48.71743694
5,5,4,6,49.23574848
5,5,5,6,50.113596
5,5,1,7,63.51979647
5,5,2,7,52.87710817
5,5,3,7,47.97639802
5,5,4,7,48.22920547
5,5,5,7,53.61085696
5,5,1,8,68.70405584
5,5,2,8,53.34135364
5,5,3,8,47.72628134
5,5,4,8,47.97990627
5,5,5,8,59.64574935
5,5,1,9,79.51395448
5,5,2,9,54.16266556
5,5,3,9,47.61837692
5,5,4,9,47.86019882
5,5,5,9,71.35616994
5,5,1,10,106.3177822
5,5,2,10,55.10025391
5,5,3,10,47.55461488
5,5,4,10,47.9810184
5,5,5,10,101.4319886
1,6,2,6,74.46763961
1,6,3,6,50.76679073
1,6,4,6,50.98216043
1,6,5,6,61.31785105
1,6,1,7,55.83408137
1,6,2,7,65.49694911
1,6,3,7,50.74597957
1,6,4,7,50.99937521
1,6,5,7,63.42961174
1,6,1,8,62.52808283
1,6,2,8,60.62649717
1,6,3,8,50.70477209
1,6,4,8,51.04278045
1,6,5,8,68.52013319
1,6,1,9,74.77146419
1,6,2,9,57.74757016
1,6,3,9,50.61772598
1,6,4,9,51.11766606
1,6,5,9,79.42412044
1,6,1,10,104.0305364
1,6,2,10,57.20600119
1,6,3,10,50.60226052
1,6,4,10,51.1939845
1,6,5,10,108.3149477
2,6,3,6,41.97717964
2,6,4,6,41.88197769
2,6,5,6,52.69774285
2,6,1,7,68.34922715
2,6,2,7,42.27073676
2,6,3,7,41.8990855
2,6,4,7,41.97466443
2,6,5,7,54.86120741
2,6,1,8,69.16913925
2,6,2,8,43.17582587
2,6,3,8,41.80234237
2,6,4,8,42.04468439
2,6,5,8,60.05549503
2,6,1,9,77.37448968
2,6,2,9,44.32005077
2,6,3,9,41.75735629
2,6,4,9,42.15523397
2,6,5,9,71.17024574
2,6,1,10,104.2105367
2,6,2,10,45.94115669
2,6,3,10,41.73053489
2,6,4,10,42.25883042
2,6,5,10,100.577544
3,6,4,6,44.42462737
3,6,5,6,52.37749878
3,6,1,7,52.90240971
3,6,2,7,42.10732751
3,6,3,7,36.20375691
3,6,4,7,38.01364025
3,6,5,7,51.09582479
3,6,1,8,58.11377678
3,6,2,8,42.48518691
3,6,3,8,36.20777883
3,6,4,8,37.36481686
3,6,5,8,55.20577666
3,6,1,9,68.96030795
3,6,2,9,43.18963293
3,6,3,9,36.20098062
3,6,4,9,37.16871942
3,6,5,9,65.86551497
3,6,1,10,96.07627212
3,6,2,10,44.03288032
3,6,3,10,36.26935904
