defect1_1,defect1_2,defect2_1,defect2_2,total_voltage,,
5,3,3,10,3444.712533,,
5,3,4,10,3443.264164,,
5,3,5,10,3338.796724,,
1,4,2,4,4106.847918,,
1,4,3,4,4091.35138,,
1,4,4,4,4088.362364,,
1,4,5,4,3944.238555,,
1,4,1,5,3658.486795,,
1,4,2,5,3701.30238,,
1,4,3,5,3711.326885,,
1,4,4,5,3710.744993,,
1,4,5,5,3663.214138,,
1,4,1,6,3749.478514,,
1,4,2,6,3763.508871,,
1,4,3,6,3763.042531,,
1,4,4,6,3761.178079,,
1,4,5,6,3662.409221,,
1,4,1,7,3704.252398,,
1,4,2,7,3772.414445,,
1,4,3,7,3783.439633,,
1,4,4,7,3781.907326,,
1,4,5,7,3683.63405,,
1,4,1,8,3679.522896,,
1,4,2,8,3777.784551,,
1,4,3,8,3798.823291,,
1,4,4,8,3800.37564,,
1,4,5,8,3688.951024,,
1,4,1,9,3627.343288,,
1,4,2,9,3791.889515,,
1,4,3,9,3836.682229,,
1,4,4,9,3832.074559,,
1,4,5,9,3654.236309,,
1,4,1,10,3323.831359,,
1,4,2,10,3420.673702,,
1,4,3,10,3436.909091,,
1,4,4,10,3435.46975,,
1,4,5,10,3331.362484,,
2,4,3,4,4271.889395,,
2,4,4,4,4267.726024,,
2,4,5,4,4083.796391,,
2,4,1,5,3704.910186,,
2,4,2,5,3733.683675,,
2,4,3,5,3745.666227,,
2,4,4,5,3745.345808,,
2,4,5,5,3708.621674,,
2,4,1,6,3766.776118,,
2,4,2,6,3891.09401,,
2,4,3,6,3872.051107,,
2,4,4,6,3869.750586,,
2,4,5,6,3756.747639,,
2,4,1,7,3772.414445,,
2,4,2,7,3858.978032,,
2,4,3,7,3873.780409,,
2,4,4,7,3872.391372,,
2,4,5,7,3774.622512,,
2,4,1,8,3760.015841,,
2,4,2,8,3860.686151,,
2,4,3,8,3882.587683,,
2,4,4,8,3884.59529,,
2,4,5,8,3774.745552,,
2,4,1,9,3710.261264,,
2,4,2,9,3875.266898,,
2,4,3,9,3920.345064,,
2,4,4,9,3915.752376,,
2,4,5,9,3738.268612,,
2,4,1,10,3407.245284,,
2,4,2,10,3504.121496,,
2,4,3,10,3520.41572,,
2,4,4,10,3518.979573,,
2,4,5,10,3414.937743,,
3,4,4,4,4339.743549,,
3,4,5,4,4132.09072,,
3,4,1,5,3716.04463,,
3,4,2,5,3746.875911,,
3,4,3,5,3750.859477,,
3,4,4,5,3750.588121,,
3,4,5,5,3717.869379,,
3,4,1,6,3767.385087,,
3,4,2,6,3873.148678,,
3,4,3,6,3906.777333,,
3,4,4,6,3905.122218,,
3,4,5,6,3784.232237,,
3,4,1,7,3783.439633,,
3,4,2,7,3873.780409,,
3,4,3,7,3893.558122,,
3,4,4,7,3892.339489,,
3,4,5,7,3796.531296,,
3,4,1,8,3775.646336,,
3,4,2,8,3877.459604,,
3,4,3,8,3899.959345,,
3,4,4,8,3902.091048,,
3,4,5,8,3793.188201,,
3,4,1,9,3727.075808,,
3,4,2,9,3892.350274,,
3,4,3,9,3937.569187,,
3,4,4,9,3932.984426,,
3,4,5,9,3755.70936,,
3,4,1,10,3424.329463,,
3,4,2,10,3521.250691,,
3,4,3,10,3537.573793,,
3,4,4,10,3536.139332,,
3,4,5,10,3432.134912,,
4,4,5,4,4132.373287,,
4,4,1,5,3715.470961,,
4,4,2,5,3746.569318,,
4,4,3,5,3750.6008,,
4,4,4,5,3749.724468,,
4,4,5,5,3717.091781,,
4,4,1,6,3765.531415,,
4,4,2,6,3870.859958,,
4,4,3,6,3905.133812,,
4,4,4,6,3904.701274,,
4,4,5,6,3783.858584,,
4,4,1,7,3781.907326,,
4,4,2,7,3872.391372,,
4,4,3,7,3892.339489,,
4,4,4,7,3891.131337,,
4,4,5,7,3795.584286,,
4,4,1,8,3774.318919,,
4,4,2,8,3876.196595,,
4,4,3,8,3898.737007,,
4,4,4,8,3900.864101,,
4,4,5,8,3792.016314,,
4,4,1,9,3725.80965,,
4,4,2,9,3891.098278,,
4,4,3,9,3936.325122,,
4,4,4,9,3931.740816,,
4,4,5,9,3754.47871,,
4,4,1,10,3423.078326,,
4,4,2,10,3520.002136,,
4,4,3,10,3536.326934,,
4,4,4,10,3534.892572,,
4,4,5,10,3430.890313,,
5,4,1,5,3665.864788,,
5,4,2,5,3707.864824,,
5,4,3,5,3715.863153,,
5,4,4,5,3715.0712,,
5,4,5,5,3667.159651,,
5,4,1,6,3664.866014,,
5,4,2,6,3755.976302,,
5,4,3,6,3782.353434,,
5,4,4,6,3781.967519,,
5,4,5,6,3754.990348,,
5,4,1,7,3683.63405,,
5,4,2,7,3774.622512,,
5,4,3,7,3796.531296,,
5,4,4,7,3795.584286,,
5,4,5,7,3717.138888,,
5,4,1,8,3680.84534,,
5,4,2,8,3784.329363,,
5,4,3,8,3808.165524,,
5,4,4,8,3809.920976,,
5,4,5,8,3703.084137,,
5,4,1,9,3633.980099,,
5,4,2,9,3799.615837,,
5,4,3,9,3845.062505,,
5,4,4,9,3840.491973,,
5,4,5,9,3663.588377,,
5,4,1,10,3331.668429,,
5,4,2,10,3428.651342,,
5,4,3,10,3445.023049,,
5,4,4,10,3443.591594,,
5,4,5,10,3339.606449,,
1,5,2,5,4111.077781,,
1,5,3,5,4094.824591,,
1,5,4,5,4091.810884,,
1,5,5,5,3944.500149,,
1,5,1,6,3660.426335,,
1,5,2,6,3703.422927,,
1,5,3,6,3713.486952,,
1,5,4,6,3712.901202,,
1,5,5,6,3665.128611,,
1,5,1,7,3749.478514,,
1,5,2,7,3766.776118,,
1,5,3,7,3767.385087,,
1,5,4,7,3765.531415,,
1,5,5,7,3664.866014,,
1,5,1,8,3694.664654,,
1,5,2,8,3780.711632,,
1,5,3,8,3797.115227,,
1,5,4,8,3798.460009,,
1,5,5,8,3682.275858,,
1,5,1,9,3632.218207,,
1,5,2,9,3794.407728,,
1,5,3,9,3837.992918,,
1,5,4,9,3833.322786,,
1,5,5,9,3653.873404,,
1,5,1,10,3326.465673,,
1,5,2,10,3422.846301,,
1,5,3,10,3438.811046,,
1,5,4,10,3437.356845,,
1,5,5,10,3332.845628,,
2,5,3,5,4267.713178,,
2,5,4,5,4263.536944,,
2,5,5,5,4081.761032,,
2,5,1,6,3703.422927,,
2,5,2,6,3732.523035,,
2,5,3,6,3744.62391,,
2,5,4,6,3744.305361,,
2,5,5,6,3707.480897,,
2,5,1,7,3763.508871,,
2,5,2,7,3891.09401,,
2,5,3,7,3873.148678,,
2,5,4,7,3870.859958,,
2,5,5,7,3755.976302,,
2,5,1,8,3759.639998,,
2,5,2,8,3863.581666,,
2,5,3,8,3883.398012,,
2,5,4,8,3885.272623,,
2,5,5,8,3769.980555,,
2,5,1,9,3709.483595,,
2,5,2,9,3874.452375,,
2,5,3,9,3919.313556,,
2,5,4,9,3914.702356,,
2,5,5,9,3736.37089,,
2,5,1,10,3406.120666,,
2,5,2,10,3502.925294,,
2,5,3,10,3519.171156,,
2,5,4,10,3517.731513,,
2,5,5,10,3413.565569,,
3,5,4,5,4333.44428,,
3,5,5,5,4128.951534,,
3,5,1,6,3713.486952,,
3,5,2,6,3744.62391,,
3,5,3,6,3748.721593,,
3,5,4,6,3748.451539,,
3,5,5,6,3715.625869,,
3,5,1,7,3763.042531,,
3,5,2,7,3872.051107,,
3,5,3,7,3906.777333,,
3,5,4,7,3905.133812,,
3,5,5,7,3782.353434,,
3,5,1,8,3769.602465,,
3,5,2,8,3877.154941,,
3,5,3,8,3901.915294,,
3,5,4,8,3904.041358,,
3,5,5,8,3790.772845,,
3,5,1,9,3724.032065,,
3,5,2,9,3890.214271,,
