defect1_1,defect1_2,defect2_1,defect2_2,total_power
2,2,4,10,5010.00355693363
2,2,5,10,3559.33608881602
3,2,4,2,4999.12136913813
3,2,5,2,3090.73773912369
3,2,1,3,2940.39904658757
3,2,2,3,4946.60708886165
3,2,3,3,4563.34731666217
3,2,4,3,4633.27943078204
3,2,5,3,2744.40537860229
3,2,1,4,2829.194683114
3,2,2,4,4911.62502239297
3,2,3,4,4559.56824834689
3,2,4,4,4607.89764976768
3,2,5,4,2627.04912870347
3,2,1,5,2783.10412003763
3,2,2,5,4895.37716874293
3,2,3,5,4557.28345450757
3,2,4,5,4595.39101677821
3,2,5,5,2577.4976476307
3,2,1,6,2776.03236667716
3,2,2,6,4893.59601210296
3,2,3,6,4560.62405266829
3,2,4,6,4595.42536867971
3,2,5,6,2577.8856256299
3,2,1,7,2829.72254681009
3,2,2,7,4905.64132749802
3,2,3,7,4561.33151223257
3,2,4,7,4595.11114778786
3,2,5,7,2619.52550171071
3,2,1,8,2933.1304862772
3,2,2,8,4936.74797465239
3,2,3,8,4556.56478998792
3,2,4,8,4600.27087633136
3,2,5,8,2717.9649037562
3,2,1,9,3079.29116640133
3,2,2,9,4970.89809680822
3,2,3,9,4556.50993811817
3,2,4,9,4600.64052259215
3,2,5,9,2865.72702332785
3,2,1,10,3228.1564943067
3,2,2,10,4990.53672782171
3,2,3,10,4570.9670195093
3,2,4,10,4605.68497672249
3,2,5,10,3134.68767059572
4,2,5,2,3078.32751081203
4,2,1,3,2972.69535839129
4,2,2,3,4968.02021440671
4,2,3,3,4640.59842378198
4,2,4,3,4601.34106123473
4,2,5,3,2684.36677563257
4,2,1,4,2863.37831252126
4,2,2,4,4938.77041416918
4,2,3,4,4616.26844890221
4,2,4,4,4601.69547662741
4,2,5,4,2588.18142597236
4,2,1,5,2814.65484331587
4,2,2,5,4925.43572474037
4,2,3,5,4607.29940014464
4,2,4,5,4603.07609652166
4,2,5,5,2547.05522477464
4,2,1,6,2811.476692065
4,2,2,6,4925.3488392391
4,2,3,6,4603.04201008467
4,2,4,6,4605.54027038521
4,2,5,6,2557.32000353035
4,2,1,7,2863.07933667997
4,2,2,7,4938.49354547328
4,2,3,7,4601.19553519209
4,2,4,7,4609.37185014988
4,2,5,7,2614.55186263787
4,2,1,8,2970.14602121026
4,2,2,8,4967.39972158193
4,2,3,8,4601.25911683316
4,2,4,8,4615.26830181304
4,2,5,8,2719.42679169651
4,2,1,9,3121.57857241637
4,2,2,9,5006.78161090213
4,2,3,9,4600.64044836344
4,2,4,9,4621.48241393638
4,2,5,9,2874.37553107913
